deal_name,property_rows,missing_valuation,missing_occupancy,missing_noi,missing_ncf,missing_dscr_noi,missing_dscr_ncf
benchmark_2025_v18,98,0.0,0.0,12.0,12.0,51.0,51.0
gs_2018_gs10,70,9.0,13.0,10.0,10.0,40.0,40.0
