deal_name,asset_rows,populated_loan_records,original_loan_amount,ending_actual_balance,original_balance_weighted_coupon,io_yes_rows,balloon_yes_rows,prepayment_premium_yes_rows
benchmark_2025_v18,98,47.0,1316438800.0,1316438800.0,0.0646,45.0,47.0,18.0
gs_2018_gs10,70,42.0,874195209.5,768735290.5,0.0447,33.0,42.0,10.0
