deal_name,property_rows,total_valuation,valuation_weighted_occupancy,valuation_weighted_dscr_noi,valuation_weighted_dscr_ncf,total_noi,total_ncf
benchmark_2025_v18,98,4057300000.0,0.8781,2.049,1.959,294616226.19,278197665.59
gs_2018_gs10,70,3057912000.0,0.9668,2.825,2.747,189079930.78,182225813.69
