validation_vintage,training_vintages,train_rows,test_rows,train_events_12m,test_events_12m,train_event_rate_12m,test_event_rate_12m,train_mean_pd_12m,test_mean_pd_12m,roc_auc,average_precision,brier_score,calibration_ratio_pred_to_obs,train_calibration_ratio,discrimination_status
2008,"2006,2007",78681,33208,52,21,0.0006608965315641641,0.0006323777403035413,0.0006875707638690818,0.0008830696764434309,0.9133094283906349,0.06766994440197104,0.0006210345733776001,1.3964275150158787,1.0403606783073698,adequate_event_count
2019,"2006,2007,2008",111889,25118,73,0,0.0006524323213184495,0.0,0.0006721358472011391,2.2186218574928008e-05,,,3.320244927576096e-08,,1.030200106951894,too_few_events_for_stable_auc_ap
2020,"2006,2007,2008,2019",137007,36852,73,0,0.0005328194909749137,0.0,0.0005516944105796683,1.1153296523617256e-05,,,1.3466426887988107e-08,,1.0354246042505288,too_few_events_for_stable_auc_ap
2021,"2006,2007,2008,2019,2020",173859,45455,73,1,0.00041988047785849455,2.199978000219998e-05,0.0004364156144371762,8.055363703305601e-06,0.1478637743652924,2.5817111581556254e-05,2.2004737070489724e-05,0.36615655713375606,1.0393805795949729,too_few_events_for_stable_auc_ap
2022,"2006,2007,2008,2019,2020,2021",219314,45357,74,2,0.0003374157600517979,4.409462706969156e-05,0.00035112642583447147,0.00010992030675056889,0.994917870135597,0.006414070052799881,4.467369527980598e-05,2.4928276766427766,1.0406343372359632,too_few_events_for_stable_auc_ap
