yield,cpr,price_pct_of_par,modified_duration
0.05,0.04,101.09693946599292,2.187343978723131
0.05,0.08,101.02966500487902,2.0540020182948915
0.05,0.12,100.96618134334692,1.9280443579197224
0.05,0.16,100.90628359773994,1.8090891711185002
0.055,0.04,99.99999999999987,2.1765285038683118
0.055,0.08,99.99999999999986,2.0436048163756135
0.055,0.12,99.99999999999986,1.9181375811951396
0.055,0.16,99.99999999999987,1.7997245702977107
0.06,0.04,98.92030361262408,2.1657467861593194
0.06,0.08,98.98596500163475,2.0332472427072923
0.06,0.12,99.047959633721,1.9082747230429684
0.06,0.16,99.1064849277177,1.7904066488198236
0.065,0.04,97.85753153735516,2.1549992759309444
0.065,0.08,97.9872773164327,2.0229296407141164
0.065,0.12,98.10981035345341,1.89845601463745
0.065,0.16,98.22551824158221,1.781135529057358
0.07,0.04,96.81137148610568,2.1442864157915897
0.07,0.08,97.00365991159994,2.0126523453577088
0.07,0.12,97.18530719301197,1.8886816786939795
0.07,0.16,97.35688406760902,1.771911325528105
