rate_regime,observations,months,average_market_rate,average_realized_cpr,median_realized_cpr,average_realized_smm
High Market Rate,315,63,6.662620634920635,0.05149598980952381,0.04758136,0.004416991809523809
Low Market Rate,321,83,3.4345545171339564,0.17980135093457944,0.15490616,0.01697451660436137
Mid Market Rate,327,96,4.849623853211009,0.14746205880733945,0.13890966,0.013585405535168196
